nome,cargo,sexo,idade,salario
Beverly Higgins,analista,F,24,1627.47
Judith Hudson,analista,F,43,1587.27
Chris Talarico,atendent,F,34,810.07
Debra Anderson,analista,F,60,1601.51
Jay Dye,atendent,M,30,811.2
Kenneth Moore,operador,M,57,1130.97
Pamela Torres,vendedor,F,54,1151.98
John Ellis,analista,M,48,1333.15
David Robinson,analista,M,31,1598.19
James Brown,analista,M,26,1370.41
Ricardo Pinto,analista,M,60,1463.27
Raymond Colon,atendent,M,31,910.51
Teresa Schuh,analista,F,51,1496.21
Margaret Farney,atendente:,F,20,930.32
Carolyn Andrus,operador,F,52,1022.51
Johnny Markley,operador,M,53,1025.06
Laura Coleson,atendente:,F,57,832.92
Lorene Stephenson,vendedor,F,44,1148.86
Victor Johnson,operador,M,20,948.06
Bradley Torgerson,vendedor,M,26,1072.33
Michael Cavallo,atendent,M,46,790.03
Therese Perez,atendent,F,46,896.85
Neil Erickson,atendent,M,34,893.97
Corinne Jodway,diretor,F,23,9167.17
George Kelty,operador,M,42,1004.6
Brenda Mong,operador,F,30,1159.85
David Pinney,supervisor,M,36,3019.19
Richard Sanchez,supervisor,M,42,3372.08
Mary Phillips,analista,F,51,1366.64
Vicki Pike,atendente:,F,32,866.8
Sandra Thompson,operador,F,48,977.48
John Larose,analista,M,55,1604.42
Yolanda Ellison,analista,F,26,1221.04
Theola Abrams,operador,F,28,972.62
Christopher Harrison,atendente:,M,43,940.21
Vivian Loftis,analista,F,31,1737.98
Charlie Rideout,atendente:,M,46,937.8
Michael Chapman,analista,M,22,1624.31
Glen Robinson,gerente,M,38,4548.11
Benjamin Davis,operador,M,55,853.97
Scott Alderman,operador,M,23,931.41
Douglas Merkel,vendedor,M,26,1325.72
Katherine Richards,analista,F,39,1636.26
Paul Rossi,operador,M,45,1036.01
Yvette Sharpe,analista,F,42,1594.22
Daniel Fisher,analista,M,45,1188.85
Abigail Lock,vendedor,F,37,1155.38
Edith Wilson,vendedor,F,20,1165.59
Edward Peters,atendent,M,53,892.6
Irene Arnhart,gerente,F,35,5148.1
Antonio Castellon,analista,M,56,1445.13
Fred Waterer,analista,M,42,1684.87
Deidre Sherrill,operador,F,31,991.51
Allie Baxter,operador,F,58,840.86
Amber Torres,vendedor,F,47,1171.58
Walter Scott,atendente:,M,52,946.26
Isabelle Ross,operador,F,20,1009.5
Charles Salley,vendedor,M,41,1222.67
Michael Robinson,gerente,M,25,4076.61
Marlene Bennett,analista,F,53,1716.56
Paul Johnson,analista,M,21,1740.48
Elise Thorne,operador,F,32,950.85
Keith Stinson,analista,M,59,1435.06
Lisa Ansel,operador,F,51,913.64
Sandra Moneyhun,analista,F,24,1446.91
Keesha Viteri,operador,F,57,958.41
Martha Bearman,vendedor,F,34,1170.25
Adam Graziano,atendent,F,47,912.62
Steven Mercado,analista,M,60,1665.68
Amanda Martin,atendente:,F,57,675.18
Clara Samson,diretor,F,55,7885.19
Lupe Hopper,analista,F,54,1726.09
Leslie Barnes,analista,F,24,1446.05
Lorrie Frederick,atendent,F,52,861.63
George Lancaster,operador,M,40,1081.62
Eleanor Brown,vendedor,F,49,1265.2
Sarah Morataya,analista,F,27,1573.65
Bobby Studler,vendedor,F,23,1213.68
Randolph Mckinney,atendente:,M,23,982.81
Freda Morley,analista,F,57,1429.66
Monica Andrews,operador,F,38,1038.55
George Lawrence,atendente:,M,45,842.29
George Mcdonell,atendent,M,37,960.07
Verla Hester,vendedor,F,22,1409.09
Jose Schippers,operador,M,59,1195.31
Susan Mitchell,operador,F,26,1011.27
Frank Vue,analista,M,38,1324.26
David Garcia,operador,M,32,1127.71
Mark Delarosa,atendent,M,21,855.78
Ivory Snider,analista,M,36,1440.8
Jesus Maymon,vendedor,M,47,1109.16
Sandra Bennett,atendente:,F,34,878.61
Glenda Fowler,atendente:,F,60,970.62
Linda Wright,analista,F,51,1422.8
Michael Willett,operador,M,24,941.82
Anthony Lemus,analista,M,23,1585.98
Mary Zamora,atendent,F,32,960.66
Jennifer Groves,vendedor,F,32,1207.39
Susan Miller,analista,F,48,1464.42
Eric Tinkham,vendedor,M,25,1138.64
Maria Lewis,analista,F,21,1405.32
Richard Ponder,operador,M,38,979.48
Carol Dambrosio,gerente,F,33,4446.04
Marcus Duffy,vendedor,M,28,1185.57
Thomas Spear,vendedor,M,26,1336.37
William Navarro,atendente:,M,37,908.32
Thomas Jenkins,analista,M,55,1267.69
Michael Romo,operador,M,20,957.45
Paula Bailey,analista,F,50,1727.8
Donald Mintz,operador,M,36,1106.63
Karina Teller,operador,F,38,991.24
Michael Schwartz,operador,M,34,1078.96
Steven Queen,vendedor,M,22,1185.27
Milagros Snyder,analista,F,54,1365.3
Carol Arnold,analista,F,55,1614.0
Kent Higginson,vendedor,M,32,1368.64
James Williams,analista,M,52,1232.41
Ella Hoyle,atendente:,F,24,908.25
Alice Powell,operador,F,47,985.37
Ashley Zimmerman,operador,F,50,865.98
Rodney Tyson,atendent,M,23,1039.7
David Desimone,operador,M,50,1128.97
Matilda Mccreedy,atendente:,F,33,1009.87
Stephanie Duke,operador,F,42,1087.2
Douglas Frazier,operador,M,56,991.99
Teresa Beattie,atendente:,F,22,824.13
Jose Norris,operador,M,53,974.71
Paul Ayala,analista,M,43,1782.06
Audrey Louie,gerente,F,31,4917.87
Charles Posey,atendente:,M,42,882.81
James Boham,atendent,M,44,771.59
Ralph Gordon,operador,M,51,1092.33
Audrey Assante,analista,F,38,1434.5
Robert Kight,gerente,M,24,5488.46
Susan Rangel,vendedor,F,43,1438.29
Christina Batts,analista,F,41,1699.04
Jacqueline Camacho,vendedor,F,45,1058.55
Dorotha Martin,atendente:,F,25,976.48
Chas Thomas,analista,M,22,1377.2
Stanley Randall,operador,M,29,876.95
Inez Texeira,vendedor,F,41,1450.13
Mackenzie Locke,vendedor,F,59,1094.57
Wayne Lacy,vendedor,M,58,997.44
Richard Morin,vendedor,M,57,1036.27
Eliza Mills,atendent,F,38,966.77
Heidi Gee,analista,F,40,1420.88
Omar Davis,analista,M,27,1615.48
Gary Summers,atendente:,M,30,849.99
Claudia Johnson,operador,F,58,1121.13
Jason Bock,diretor,M,24,11150.69
Anthony Webster,operador,M,57,1017.61
Paul Nuss,vendedor,M,59,974.13
Carl Henry,analista,M,31,1665.96
Nicole Sinha,analista,F,39,1554.04
Donald Johnson,analista,M,20,1490.2
Peter Robertson,operador,M,59,948.45
Brian Rosario,atendente:,M,55,735.5
John Holmberg,analista,M,46,1289.15
Lizzie Frey,atendente:,F,45,737.78
Christopher Halvorson,atendent,M,52,844.64
Jayne Eberhard,analista,F,52,1237.54
Sarah Hall,analista,F,57,1352.69
Terrence Bradley,atendent,M,52,852.54
Leo Brown,vendedor,M,37,1396.52
Kay Smith,atendente:,F,45,846.12
Micheal Roberts,operador,M,33,1315.57
Eva Klitz,supervisor,F,29,3123.58
Phyllis Redden,operador,F,35,1014.6
Jill Guercio,atendent,F,51,951.42
Edward Gannaway,operador,M,58,977.17
Richard Rogers,operador,M,36,1189.21
Paul Robison,atendente:,M,35,905.52
Barbara Jones,operador,F,22,862.88
Melvin Dumais,operador,M,39,977.28
Brandon Augustus,operador,M,54,916.04
Peter Banks,diretor,M,33,8571.7
Amy Sudbeck,operador,F,44,877.55
Vincent Goldman,atendente:,M,25,980.95
James Stevenson,gerente,M,56,4933.24
Natalya Koch,vendedor,F,45,1136.39
James Crawford,atendente:,M,39,1080.17
Kenneth Johnson,atendent,M,30,914.57
Marie Bennett,operador,F,32,1080.13
Robert Balliew,atendente:,M,56,814.29
Stuart Fischer,atendente:,M,35,799.83
Edward Ebrahim,operador,M,43,1115.42
Marie Mair,operador,F,45,965.18
Jimmie Basham,operador,M,40,1035.3
Estela Bloom,vendedor,F,31,1163.43
William Castillo,vendedor,M,46,1209.14
Nicole Hundley,operador,F,26,1078.08
Stanley Anderson,atendent,M,31,838.81
Amy King,atendent,F,29,1007.03
Erick Hernandez,analista,M,34,1753.22
Roberto Berardino,analista,M,21,1458.17
Hattie Aldridge,vendedor,F,53,1117.68
Linda Carpenter,gerente,F,37,4802.19
Stephen Caldwell,operador,M,36,1142.54
Eric Vanbrunt,supervisor,M,36,2975.6
Richard Quan,gerente,M,43,5763.09
Kristan Bass,vendedor,F,22,1355.7
Ida Tasson,atendente:,F,41,883.8
Elizabeth Hall,operador,F,52,1166.39
Andrew Caplinger,operador,M,35,990.61
Jean Mendez,atendente:,F,31,877.7
Max Lamb,atendent,M,43,779.6
Oralia Peterson,operador,F,58,990.48
Sandra Metelus,analista,F,31,1560.65
Reba Applen,analista,F,20,1844.68
Betty Matlock,operador,F,21,1058.47
Terri Hall,operador,F,46,1265.86
Tracy Holton,analista,F,51,1331.78
Charles Baker,atendent,M,24,744.02
Crystal Miller,supervisor,F,21,3585.21
Carlton Gilmore,analista,M,34,1200.47
Phil Peters,analista,M,34,1486.7
Anthony Hansen,operador,M,28,1054.77
Brian Fornes,atendente:,M,49,818.47
Marie Reed,operador,F,39,939.55
Gary Viverette,analista,M,52,1833.02
Mark Manuel,analista,M,48,1724.78
Meghan Jozwick,operador,F,28,969.97
Eva Cammack,atendente:,F,40,975.58
Marion Cosselman,analista,M,42,1588.06
Gerald Foster,atendente:,M,27,807.92
Emily Manning,analista,F,41,1360.7
Lenora Hadley,atendent,F,39,761.37
Kara Spalding,gerente,F,26,5812.95
Dora Days,atendent,F,37,939.51
Tommy Roberts,operador,M,38,1061.12
Elliot Smith,vendedor,M,50,1500.51
Joshua Russell,analista,M,28,1350.32
Whitney Good,atendente:,F,55,930.9
Laurie Holloman,operador,F,45,1060.97
Carol Yamasaki,atendent,F,37,969.26
David Davis,atendente:,M,21,714.58
Linda Stemp,analista,F,58,1660.75
Kevin Lawson,atendente:,M,31,804.75
Joseph Laughlin,vendedor,M,57,1284.35
Gale Webb,atendent,F,57,985.79
Walter Humphrey,operador,M,23,1094.8
Elizabeth Edwards,supervisor,F,37,2861.43
Roy Franco,vendedor,M,44,1352.62
Charles Kubiak,analista,M,37,1416.13
Betty Cross,atendente:,F,38,933.07
Wayne Swartzentrube,atendent,M,27,963.09
Vivian Williams,operador,F,60,1077.69
Donald Bennett,analista,M,32,1771.72
Elizabeth Pereida,operador,F,54,1057.88
Sheryl Harnois,gerente,F,22,5371.61
Roy Tyree,supervisor,M,48,3099.75
Geraldine Carr,supervisor,F,39,2904.69
Mee Lester,operador,F,34,1011.05
Robert Clay,vendedor,M,43,1350.76
Hazel White,atendent,F,54,870.94
Dorothy Collins,vendedor,F,44,1169.83
Darrin Fields,atendent,M,48,859.64
Patrick Mills,operador,M,58,932.68
Billy Daffron,analista,M,38,1332.84
Richard Boatwright,supervisor,M,34,3149.86
Florence Beebe,atendente:,F,27,937.64
Michelle Alfaro,vendedor,F,52,1192.96
Robert Freeman,operador,M,21,909.06
Bernard Romero,operador,M,24,907.41
Mark Claar,operador,M,33,1052.52
Guadalupe Barkley,vendedor,M,24,1268.83
Donald Smith,gerente,M,30,4613.3
Sharon Sanders,vendedor,F,33,1050.4
Janet Brown,diretor,F,32,9408.48
Edgar Edge,atendent,M,55,983.41
John Pickett,atendente:,M,56,924.99
Melissa Montanez,supervisor,F,25,3315.08
Eric Brewer,atendente:,M,30,879.07
Ruthie Curry,atendent,F,21,764.13
Sylvia Foster,analista,F,24,1323.97
Arthur Horton,operador,M,49,995.14
John Rogers,atendente:,M,29,893.65
Naomi Morgan,operador,F,50,1073.98
Jose Mcgowan,vendedor,M,20,1279.38
Sean Weber,analista,M,39,1608.3
Billy Graff,operador,M,37,998.35
Maria Mauch,operador,F,39,1069.92
Henry Duncan,operador,M,20,1034.81
Sidney Strickland,operador,M,42,912.23
Madeline Goldsmith,operador,F,45,1023.56
Joshua Olson,vendedor,M,49,1204.6
George Winn,operador,M,34,1094.79
Shirley Scott,analista,F,55,1430.5
Laura Hermans,gerente,F,30,4367.6
Herbert Cook,analista,M,33,1623.59
Charles Belizaire,operador,M,55,1009.15
Steve Smith,vendedor,M,56,1267.91
Lynne Tolentino,atendente:,F,59,1001.05
John Knapp,atendente:,M,58,838.72
Linda Moll,analista,F,41,1297.7
David Cochrane,operador,M,28,971.32
Cristin Dunne,analista,F,49,1455.12
John Elliott,gerente,M,44,5593.01
Vesta Nye,vendedor,F,51,1093.91
Patricia Gonzalez,atendent,F,58,954.68
Terrence Ellis,operador,M,31,941.93
Garrett Salomon,atendent,M,36,718.23
Jessie Aleman,atendent,F,29,916.26
David Curran,supervisor,M,50,2686.8
Gus Carver,vendedor,M,55,1042.74
Charles Housel,vendedor,M,48,1235.34
Lori Flowers,operador,F,34,932.75
Elva Miller,gerente,F,31,4022.1
Louis Wright,supervisor,M,52,3194.51
Margaret Brown,atendente:,F,37,1035.92
Herbert Gulick,vendedor,M,56,1226.01
Elsie Voves,analista,F,36,1551.14
Stephen Coffman,vendedor,M,56,1201.76
Timothy Pele,analista,M,51,1540.22
Rebecca Morales,operador,F,34,1024.19
Jane Delano,atendente:,F,29,847.19
William Mayo,vendedor,M,32,1245.17
Mary Trejo,analista,F,43,1637.31
Maureen Harper,atendent,F,20,888.23
Helen Worthen,atendent,F,25,1034.87
James Gardner,operador,M,34,1276.9
Teresa Cole,vendedor,F,28,1194.52
Tammy Gibbons,operador,F,58,1104.08
Charles Swenson,atendent,M,29,842.88
Jutta Asam,vendedor,F,20,1144.57
Christian Hull,vendedor,M,29,1085.79
Dale Chestnut,analista,M,24,1507.1
John Wells,operador,M,30,977.31
Bobby Schulz,gerente,M,23,4440.58
Frank Triplett,analista,M,33,1474.31
Thomas Sapp,analista,M,60,1276.5
Eleanor Medley,supervisor,F,60,3164.94
Judith Smith,atendente:,F,54,861.72
Mary Paker,operador,F,52,1172.63
Angelo Creed,gerente,M,32,4976.92
Jeannette Brindley,vendedor,F,21,1317.3
Ruby Kreutzer,atendent,F,57,949.44
Leslie Ackerman,operador,M,24,1210.14
Janet Kline,atendente:,F,41,877.65
Richard Scroggins,atendente:,M,43,989.17
Albert Flemming,atendente:,M,52,776.7
Arthur Lee,diretor,M,46,11536.79
Calvin Sanderson,atendente:,M,58,851.78
Willie Busch,atendente:,M,54,845.52
Teresa Valdez,analista,F,29,1431.99
Ryan Weaver,atendente:,M,21,685.21
Anna Gonzalez,analista,F,39,1576.17
Alyson Johnson,analista,F,43,1359.34
Selina Fruman,operador,F,42,1007.45
Velma Ruffin,operador,F,32,928.1
Alicia Gant,analista,F,24,1550.51
Christie Vail,atendent,F,31,966.31
Amy Glud,atendent,F,26,964.02
Mary Wilson,operador,F,37,963.85
Renate Perryman,atendent,F,45,881.44
Dorothy Kirk,atendent,F,21,903.51
Diana Sherrill,analista,F,52,1409.87
Dorothy Jackson,analista,F,47,1252.59
Orlando Branch,gerente,M,39,5211.11
Gerald Gayle,atendent,M,33,928.94
Edwardo Custer,operador,M,41,1018.14
Bonita Ramlall,operador,F,21,962.11
Wayne Young,operador,M,45,983.49
Anna Miles,atendent,F,35,934.86
Michelle Fay,gerente,F,45,4758.87
Alma Fishman,supervisor,F,39,3461.1
Jacquelyn Bowman,analista,F,37,1344.9
Doris Schmid,atendent,F,25,966.07
Nicholas Ramirez,operador,M,38,1089.26
Stephen Taylor,analista,M,57,1202.01
Rhonda Decosta,operador,F,47,955.79
Patricia Baker,gerente,F,27,5685.1
Kelli Sterling,diretor,F,26,11455.4
Mary Ohmen,vendedor,F,27,1155.65
Barbara Myers,operador,F,35,924.27
Anna Stewart,analista,F,21,1423.51
Richard Boudreaux,atendente:,M,34,952.93
John Walker,gerente,M,60,4392.19
Joan Donaldson,atendente:,F,24,867.0
Della Jones,analista,F,30,1774.08
Paul Hollendonner,supervisor,M,32,2844.31
Anthony Powell,operador,M,20,798.14
Clifton Sundberg,supervisor,M,49,3475.28
Irvin Gonzales,vendedor,M,25,1191.3
Anthony Santos,analista,M,27,1571.22
Andrew Conyers,operador,M,39,1047.21
Kathleen Carrol,analista,F,51,1759.16
Scott Kenney,atendente:,M,27,956.04
Gail Cremin,vendedor,F,36,1254.87
Norman Janicki,operador,M,48,1238.76
Neal Carver,operador,M,53,1025.94
Mary Murray,supervisor,F,25,2557.52
James Warden,analista,M,26,1578.39
Terrance Nieto,analista,M,60,1664.08
Keith Burks,operador,M,57,885.92
Amanda Deal,gerente,F,26,4955.01
Adam Britten,analista,M,56,1386.23
Eunice Pitts,gerente,F,29,5783.73
Sarah Strong,analista,F,56,1410.35
Brandon Moneypenny,analista,M,59,1392.73
George Gigliotti,analista,M,26,1281.98
Joseph Haack,operador,M,58,887.7
Kathleen Wargo,operador,F,54,1083.71
Jill Alston,vendedor,F,55,896.53
Ruth Lazar,atendent,F,33,983.0
Sandra Rogers,gerente,F,37,4939.51
Lillian Lamb,analista,F,50,1348.35
John Stonebraker,operador,M,20,1031.7
Elizabeth Antal,vendedor,F,37,1211.71
Laquita Lee,operador,F,48,1183.1
Mark Range,operador,M,45,988.55
Kyle Ingram,atendent,M,50,884.27
Florence Erling,operador,F,49,897.15
Beverly Bair,atendente:,F,50,905.12
Miguel Kesler,analista,M,23,1469.6
Gloria Martin,operador,F,47,991.4
Mark Sutherland,atendente:,M,49,942.86
Anita Melle,diretor,F,37,10274.69
Craig Conner,atendent,M,35,881.51
William Rodriguez,diretor,M,44,10157.51
Julia Gipson,supervisor,F,26,2703.98
Astrid Johnson,atendente:,F,53,954.62
Jules Mason,atendente:,M,44,1044.57
Bryan Wright,atendente:,M,44,748.17
Lillian Partridge,supervisor,F,42,2545.1
Kenneth Clark,analista,M,51,1233.18
Gary Brown,atendente:,M,36,690.21
Monica Thornton,operador,F,34,1054.72
Daniel Byrne,vendedor,M,29,1123.64
Rena Beckner,atendent,F,47,1029.51
William Arana,vendedor,M,48,1455.53
Shirley Brimfield,operador,F,33,1124.17
Charles Weil,analista,M,55,1535.14
David Anna,atendent,M,36,882.87
Marvin Obrien,vendedor,M,27,1291.3
Dale Barnard,analista,M,42,1368.45
Glenn Jacks,atendent,M,58,937.09
Theresa Campbell,vendedor,F,36,1095.86
Shirley Tarwater,operador,F,24,1010.68
Sang Crist,operador,F,21,993.62
Stella Statum,analista,F,38,1700.08
Micheal Thomas,atendent,M,35,762.06
Michael Lynn,vendedor,M,22,1173.19
Hector Hickmon,vendedor,M,49,1325.16
Erwin Obrien,atendent,M,59,794.44
Greg Duckworth,atendent,M,33,735.07
Leon Wells,atendente:,M,32,992.78
Stacy Rawlins,supervisor,F,30,3173.27
Jeramy Gunderson,operador,M,45,1059.48
Ruby Limones,analista,F,27,1503.33
Billy Samuel,analista,M,23,1500.19
George Plescia,vendedor,M,26,1197.84
Anna Woodruff,analista,F,41,1725.21
Janet Webb,operador,F,22,959.91
Jean Villeneuve,atendent,F,53,852.35
William Herrod,atendente:,M,45,906.36
Muriel Reyes,analista,F,23,1766.89
Frank Bartholomew,diretor,M,47,10265.53
Patricia Perreault,diretor,F,30,9781.63
Edward Horiuchi,operador,M,58,1115.64
Keith Emmons,diretor,M,33,9075.08
Miguel Holley,analista,M,27,1592.51
Stephanie Boldosser,operador,F,38,889.0
John Rhine,atendent,M,34,974.76
Archie Souza,supervisor,M,25,2757.33
Walter Then,analista,M,20,1741.23
Sandra White,vendedor,F,22,1190.54
Terry Stephens,atendent,M,53,857.11
Randy Thomas,analista,M,52,1349.94
Sherri Lamarche,atendente:,F,26,880.92
Alice Acosta,atendente:,F,33,995.69
John Hartman,operador,M,43,788.5
Daniel Reyna,operador,M,30,944.56
Daniel Demers,operador,M,57,1123.77
Marcelina Mischke,vendedor,F,26,1146.54
Addie Casano,operador,F,20,981.27
John Kinard,operador,M,42,1191.93
Rebecca Trout,vendedor,F,20,1233.61
Barry Wilson,operador,M,24,968.84
Micheal Osterhout,operador,M,33,1066.94
Phyllis Lira,vendedor,F,37,1108.06
Kevin Gregory,atendente:,M,27,910.42
Arlene Gentry,operador,F,47,984.41
Elizabeth Cocklin,analista,F,60,1657.73
Amanda Mattocks,supervisor,F,37,2996.73
Hattie Penny,atendente:,F,47,903.05
James Goldenberg,analista,M,47,1290.56
Laura Bassett,operador,F,24,1084.51
Christine Pepper,operador,F,55,993.8
Carolyn Friou,analista,F,57,1783.98
Brandon Gilliam,operador,M,55,940.46
Tami Wilkinson,atendent,F,29,904.22
Betty Mcbroom,operador,F,36,966.37
Ted Keller,analista,M,56,1441.62
Zachary Mcmath,atendente:,M,36,862.11
Mohammad Erickson,atendent,M,53,901.39
Danielle Dewitt,atendent,F,47,1010.3
Robert Good,gerente,M,24,4545.07
Anne Gaylor,analista,F,37,1404.93
Christy Henton,operador,F,51,1026.21
Yolanda Cleckler,operador,F,55,918.84
Mercedes Clark,gerente,F,50,4395.02
David Mays,vendedor,M,50,1369.76
Peter Barbosa,vendedor,M,33,1147.36
Maria Bond,operador,F,30,998.93
Richard Marn,atendente:,M,41,854.26
Beverly Holt,analista,F,22,1694.68
William Parks,analista,M,35,1550.29
Maria Bush,gerente,F,53,4467.13
Nicole Gonzales,vendedor,F,20,1260.63
Rose Thomas,operador,F,52,1101.43
Hope Kerr,operador,F,20,955.72
Wesley Jackson,vendedor,M,50,1263.49
Christopher Tomas,analista,M,44,1423.78
Paul Furr,gerente,M,25,4454.68
Mark Davis,analista,M,21,1565.14
Benjamin Hotton,operador,M,23,992.78
Lucy Rodvold,operador,F,29,962.21
Tina Heller,operador,F,35,1094.65
Cheryl Douglass,atendente:,F,31,1038.33
David Mozak,analista,M,39,1472.24
Vincent Hamilton,atendent,M,25,891.88
Brenda Green,vendedor,F,38,983.78
Cynthia Flinchum,atendente:,F,20,844.83
Daniel Martinez,analista,M,41,1386.89
Tiffany Gilbert,operador,F,51,916.47
Deanna Boon,analista,F,24,1532.76
Paul Goud,vendedor,M,23,1062.36
Alan Myers,diretor,M,27,11662.27
Ashley Slaughter,operador,F,49,811.28
Walter Johnson,operador,M,34,979.48
Christopher Runyon,analista,M,58,1402.78
Louise Lemons,analista,F,21,1557.28
Jim Wedekind,atendent,M,25,976.92
Coy Eshelman,operador,M,24,911.71
Brandon Cole,operador,M,41,1076.98
Alexandria Wallace,vendedor,F,25,1366.01
Kayleen Ellis,analista,F,48,1382.3
Janet Mcarthur,analista,F,26,1450.53
Dorothy Mickelsen,atendent,F,52,863.87
Mary Hoffman,vendedor,F,21,1030.17
Clifford Coggins,operador,M,25,1015.12
Gerald Velez,analista,M,40,1565.23
Glenn Velo,operador,M,27,973.78
Anthony Hampshire,operador,M,33,896.11
Mary Crosby,analista,F,43,1411.58
Paula Campbell,operador,F,41,1190.56
Kenneth Clark,vendedor,M,43,1217.43
Gordon Truxillo,diretor,M,54,9303.24
Jesus Hughes,atendent,M,28,902.03
Antonio Foster,vendedor,M,55,1134.02
William Ware,atendente:,M,37,912.38
Ken Hill,analista,M,35,1483.32
Virginia Lejeune,operador,F,39,979.47
William Hernandez,operador,M,47,989.3
Carrol Jones,vendedor,M,23,989.79
Martin Fields,supervisor,M,22,2845.83
Bruce Egger,atendent,M,21,860.33
Sharon Aviles,atendente:,F,43,773.12
Susan Ayers,vendedor,F,44,1136.37
Jimmy Diaz,atendente:,M,38,841.02
Walter Healey,atendente:,M,42,933.63
William Wright,analista,M,39,1526.68
Carol Gutierrez,atendent,F,52,810.27
Irene Kramer,operador,F,29,873.04
Lila Doody,atendent,F,43,770.0
Penny Jewell,vendedor,F,21,1134.25
Pauline Sanots,vendedor,F,29,1168.58
Patrick Shearer,analista,M,58,1426.62
Sarah Brown,analista,F,43,1717.13
Clyde Brandi,operador,M,57,1172.66
Richard Ginsburg,vendedor,M,54,1113.99
Rex Johnson,vendedor,M,37,1140.19
Flora Barker,atendente:,F,42,996.16
Doris Gerner,gerente,F,56,5031.93
Sherry Imhof,operador,F,31,1146.74
John Prude,vendedor,M,37,1090.12
Leigh Burkhard,vendedor,F,44,1249.77
Kevin Pierce,atendent,M,59,907.43
Amanda Sturm,atendente:,F,59,783.56
Erica Mukai,operador,F,35,1094.6
Michael Pelayo,atendent,M,41,705.86
Judy Wright,atendent,F,22,910.22
Dolly Harmon,analista,F,22,1630.79
Denise Dove,vendedor,F,41,1196.55
Pearlie Bailes,supervisor,F,29,3186.01
Mia Standifer,vendedor,F,60,1150.59
James Walker,vendedor,M,24,1226.56
Robert Ohalloran,atendent,M,41,808.0
Adam Plienis,supervisor,M,25,3657.54
John Schmidt,analista,M,53,1315.0
Mary Hernandez,atendente:,F,51,760.88
Charles Foley,operador,M,59,1056.0
Rosalyn Kneser,vendedor,F,41,1285.99
James Walks,atendente:,M,21,910.12
Taylor Williams,atendent,M,47,854.1
Herbert Clay,operador,M,28,1124.09
Edna Groff,operador,F,31,935.26
Clora Merten,supervisor,F,57,2567.42
Larry Williams,atendent,M,35,947.81
Matthew Wadley,atendente:,M,24,879.93
Jennie Alexander,atendent,F,20,915.38
Kevin Morningstar,operador,M,30,978.71
Leeanne Austin,analista,F,41,1430.78
Ruth Caraway,analista,F,26,1426.54
Elma Turbacuski,analista,F,46,1553.33
Donna Vining,atendente:,F,28,1025.71
Alicia Smith,atendente:,F,57,846.74
Barbara Harnois,vendedor,F,39,1144.29
Robert Bryant,analista,M,58,1574.8
Brenda Hightower,operador,F,31,1080.89
John Knutson,vendedor,M,36,1361.54
Mary Keller,analista,F,20,1558.47
Susan Tao,operador,F,49,967.88
Roger Sandiford,operador,M,59,963.6
Dean Kelemen,vendedor,M,30,1114.11
Priscilla Vance,vendedor,F,27,1372.52
Jean Coleman,atendent,F,45,843.8
Tony Watson,atendent,M,44,941.42
Jaime Krauss,analista,F,56,1588.4
Frank Green,operador,M,20,1025.6
Jenny Cardona,operador,F,41,1051.47
James Daddio,operador,M,59,1097.04
Jeremiah Farr,vendedor,M,31,1282.36
Sarah Albright,operador,F,26,1006.38
Renee Fuller,vendedor,F,43,1318.7
Norma Stlouis,atendente:,F,49,913.01
Isabelle Pipkin,analista,F,29,1562.05
June Loos,operador,F,23,1100.63
Mary Chan,vendedor,F,45,1044.95
Richard Webster,atendente:,M,46,1001.0
Clifton May,atendente:,M,42,896.22
Holly Grove,analista,F,33,1820.14
Anthony Smith,atendent,M,46,1072.85
Lavinia Mueller,vendedor,F,35,1111.66
Helen Ramos,atendente:,F,45,893.54
Bessie Alvarez,analista,F,57,1511.06
Edythe Jones,vendedor,F,36,1375.94
Ronald Baker,operador,M,30,908.11
Gregory Anderson,operador,M,55,1039.24
Juanita Seidl,operador,F,30,1021.41
Christopher Hubbard,operador,M,30,871.72
Anna Perrone,analista,F,35,1625.08
Marie Fuller,gerente,F,45,4752.26
Charise Becker,analista,F,46,1708.52
Timothy Miller,vendedor,M,20,1388.91
Antonio Wagner,operador,M,39,968.81
Donald Foster,analista,M,55,1267.27
Shane Smith,operador,M,60,1024.14
Bernie Harris,operador,F,22,1074.59
James Powell,vendedor,M,37,1397.9
Hayley Walters,gerente,F,29,4923.9
Geri Wilhoit,operador,F,34,953.37
Rosie Blackwood,supervisor,F,44,3335.01
Betty Heefner,operador,F,26,990.01
Michael Burns,atendente:,M,43,1014.24
John Hema,atendente:,M,40,883.53
Stephanie Bard,atendente:,F,35,964.5
Joan Knight,operador,F,40,987.68
Natalie Omara,vendedor,F,53,1129.75
John Jones,analista,M,45,1308.04
Barbar Darroch,operador,F,22,1092.51
Hans Jones,analista,M,34,1514.97
Carroll Burdick,analista,M,60,1534.48
Rachel Franciscus,supervisor,F,50,3330.64
Wendy Williams,supervisor,F,36,3007.49
Clifford Rodriguez,atendent,M,56,1097.03
Jeffrey Cohan,analista,M,59,1346.55
Joshua Defelice,diretor,M,50,9032.72
Peggy Hite,operador,F,29,1024.95
Kevin Williams,atendente:,M,58,909.38
Samantha Mitchell,operador,F,25,1135.47
Tracy Martin,supervisor,F,46,3090.64
Rachel Davis,operador,F,34,910.05
